A,B,C,D,E,label
3106.7645631382356,-2.5653365930432943,5.890282728352554,0.21909891825233485,-0.17055476462997407,male
3088.7643061515128,-0.7282029530200095,4.751629233642273,0.596488063003322,-0.1568851317995961,male
3087.7640405844813,-0.3649193936090695,1.8427793543478908,-0.19176370555597366,-0.15990858471406652,male
3085.7639599099907,-1.617858863052741,-0.23300332474366975,-0.3269615023499594,-0.0035330108751533184,male
3084.764583411592,-8.206733224215728,1.1805199312309684,-0.18501707360917538,0.20625336197583247,male
3081.763841891612,3.8908484737802786,2.9261032029767824,-0.6508076161983781,-0.09176623004301536,male
3080.764103258143,-2.4499218867098675,0.8288359572642312,-0.44826456682409915,-0.3227106092527641,male
3069.763993533961,5.766384142343424,6.015003137444003,-0.750523926694151,0.08359103602781912,male
3066.763863989464,7.5488179639951465,6.412605783229082,0.02039876868178584,-0.0981571709278545,male
3063.762922168487,7.458726076263394,-4.285153698570007,-0.335785784200462,0.1734094815574604,male
3062.7647761195476,-5.563457239248064,5.76808157630649,-0.008562304095206509,-0.13279461004517462,male
3061.764357735183,-3.5752612959046837,2.7715595517733473,-0.19317736268414543,-0.2228752107943422,male
3060.7648404217007,-8.574312105505113,3.8471136027969792,-0.26081940447657,-0.055306797342561394,male
3059.7637065523895,1.2977753060753312,-0.5181130349279047,-0.11995732801217175,-0.09191440811405169,male
3058.764137245199,-1.0117496546369376,2.1692291966181476,-0.3804596728077393,0.07618026573993938,male
3057.764558200137,-4.419576619444347,4.248907616800612,-0.06737641856929188,-0.16813511419689575,male
3052.7642488848005,-5.6063346619235235,-0.3729400253879049,-0.3489004761088712,0.11642200055909886,male
3050.7633067338497,5.085278507011868,-2.0959261798093873,-0.5138569193068737,0.2284735247259716,male
3049.7641143697642,-3.6523129518510045,-0.22482560774954963,-0.2695793621832774,0.11130700000947347,male
3042.7645327993646,-5.211467231351999,3.1538644670569425,-0.2859224472992838,-0.009085884562928389,male
3040.764631079682,-3.388550593260042,5.669911560884957,-0.29393031859472224,0.13492290317901598,male
3035.7637603245953,-3.555456001804584,-4.120045245525318,-0.3806378657609936,0.2658957237864453,male
